date,hour,tweet
28-04-20,12:40:00,"b'Umar\xc4\xb1m gencin \xc3\xb6l\xc3\xbcm\xc3\xbcne sebep olan polisler hak etti\xc4\x9fi cezay\xc4\xb1 al\xc4\xb1rlar. Y\xc4\xb1llarca Suriyeliler defolsun diyenler, Suriye\xe2\x80\xa6 https://t.co/pZiFsdTiff'"
28-04-20,12:49:00,"b'RT @dilekeskii: Umar\xc4\xb1m gencin \xc3\xb6l\xc3\xbcm\xc3\xbcne sebep olan polisler hak etti\xc4\x9fi cezay\xc4\xb1 al\xc4\xb1rlar. Y\xc4\xb1llarca Suriyeliler defolsun diyenler, Suriyelileri i\xe2\x80\xa6'"
28-04-20,8:28:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,11:05:00,"b'ali\xe2\x80\x99yi \xc3\xb6ld\xc3\xbcrenler, ali suriyeli oldu\xc4\x9fu i\xc3\xa7in bu kadar hoyrat\xc3\xa7a hareket etmeyi kendilerine hak g\xc3\xb6r\xc3\xbcyorlar. polisler,\xe2\x80\xa6 https://t.co/bWCI7mXi3q'"
28-04-20,7:40:00,b'Bunlar nas\xc4\xb1l insan cidden hayret ediyorum.. Suriyeli diye su\xc3\xa7suz yere \xc3\xb6lmeyi hak ediyor muydu daha 17 ya\xc5\x9f\xc4\xb1nda bir \xc3\xa7\xe2\x80\xa6 https://t.co/4H0UjlNjIC'
28-04-20,1:08:00,b'@TaylanKulacogIu Neden bir insani turk yada suriyeli diye ayiriyorlarki onunda yasama hakki yokmuydu bu hayatta hep\xe2\x80\xa6 https://t.co/7ykJDrdaGB'
28-04-20,6:47:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,4:10:00,b'@beyraha @Kontescik ki suriyeli de de\xc4\x9fil heralde. Ayr\xc4\xb1ca olsa bile olmasa bile \xc4\xb0nsan... hi\xc3\xa7 kimse heleki bir \xc3\xa7ocuk b\xc3\xb6yle \xc3\xb6lmeyi hak etmiyor.'
28-04-20,3:41:00,"b'Suriyeli demi\xc5\x9fsiniz, hak etmi\xc5\x9ftir demi\xc5\x9fsiniz..\nAma unuttu\xc4\x9funuz bir \xc5\x9fey olmu\xc5\x9f. O bir \xc3\xa7o\xc3\xa7uk. Ve ayn\xc4\xb1 zamanda bilmedi\xc4\x9f\xe2\x80\xa6 https://t.co/51ExLLvuIQ'"
28-04-20,1:01:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,12:57:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,12:44:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,12:22:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,12:12:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,1:09:00,"b'Suriyeli olmas\xc4\xb1, 17 ya\xc5\x9f\xc4\xb1nda olup d\xc4\xb1\xc5\x9far\xc4\xb1da olmas\xc4\xb1 \xc3\xb6nemli de\xc4\x9fildi. \xc3\x96lmeyi hak etmedi. Kalbinden vurularak ac\xc4\xb1 \xc3\xa7ekmeyi\xe2\x80\xa6 https://t.co/y7snz6nEWx'"
28-04-20,2:45:30,"b'RT @senakaleli: K\xc3\xbc\xc3\xa7\xc3\xbcmsedikleri, g\xc3\xbcnahkar ve sapk\xc4\xb1n dedikleri bir insan\xc4\xb1n d\xc3\xbcnyay\xc4\xb1 kurtard\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1 d\xc3\xbc\xc5\x9f\xc3\xbcn\xc3\xbcnce insanl\xc4\xb1k, hak ve vicdan\xc4\xb1m\xc4\xb1z hareket\xe2\x80\xa6'"
28-04-20,7:09:00,b'Suriyeli oldu\xc4\x9fu i\xc3\xa7in hak ediyor diyenler var unutmay\xc4\xb1n o \xc3\xa7ocuk bizim evlad\xc4\xb1m\xc4\xb1zda olabilirdi dur emrine uymam\xc4\xb1\xc5\x9f diye\xe2\x80\xa6 https://t.co/x1W5SbjfUh'
28-04-20,1:24:00,"b'\xc4\xb0ster yasa\xc4\x9fa uymas\xc4\xb1n, ister suriyeli olsun kalbinden vurulmay\xc4\xb1 hak edicek bir \xc5\x9fey yapmad\xc4\xb1.Masum insanlar\xc4\xb1 \xc3\xb6ld\xc3\xbcrmek\xe2\x80\xa6 https://t.co/nbTm4Qsxwu'"
28-04-20,1:31:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,2:10:00,b'@t24comtr \xe2\x80\x9cSuriyeli\xe2\x80\x9d diye belirtmek neden? Suriyeliyi vurmak hak m\xc4\xb1?'
28-04-20,1:39:00,"b'@TaylanKulacogIu \xc3\x87\xc3\xbcnk\xc3\xbc hala ""suriyeliymis"" yaziryorlar  normal de\xc4\x9fil mi ? Suriyeli olunca \xc3\xb6lmeyi hak etmi\xc5\x9f gibi...'"
28-04-20,11:02:00,b'@srkninci Bunlar bu co\xc4\x9frafyada normal \xc5\x9feyler Vatanda\xc5\x9f\xc4\xb1m\xc4\xb1z olsayd\xc4\xb1 hak verirdim. Suriyeli oldu\xc4\x9fu i\xc3\xa7in Devletmizin polisi umar\xc4\xb1m ceza almaz.'
